Cell	Figure	CAGE	MOUSE	GROUP	Treatment	Day	RLU
BV-173	Fig5E	1-1	1-1_Control		Control	7	17.798
BV-173	Fig5E	1-1	1-1_Control		Control	14	496.566
BV-173	Fig5E	1-1	1-1_Control		Control	21	974.8838
BV-173	Fig5E	1-1	1-1_Control		Control	28	1628.037
BV-173	Fig5E	1-1	1-1_Control		Control	35	1263.499
BV-173	Fig5E	1-1	1-1_Control		Control	42	
BV-173	Fig5E	1-1	1-1_Control		Control	49	
BV-173	Fig5E	1-1	1-1_Control		Control	56	
BV-173	Fig5E	1-1	1-1_Control		Control	63	
BV-173	Fig5E	1-1	1-1_Control		Control	70	
BV-173	Fig5E	1-2	1-2_Control		Control	7	30.956
BV-173	Fig5E	1-2	1-2_Control		Control	14	588.9899
BV-173	Fig5E	1-2	1-2_Control		Control	21	741.2883
BV-173	Fig5E	1-2	1-2_Control		Control	28	616.4917
BV-173	Fig5E	1-2	1-2_Control		Control	35	886.372
BV-173	Fig5E	1-2	1-2_Control		Control	42	
BV-173	Fig5E	1-2	1-2_Control		Control	49	
BV-173	Fig5E	1-2	1-2_Control		Control	56	
BV-173	Fig5E	1-2	1-2_Control		Control	63	
BV-173	Fig5E	1-2	1-2_Control		Control	70	
BV-173	Fig5E	1-3	1-3_Control		Control	7	19.953
BV-173	Fig5E	1-3	1-3_Control		Control	14	114.4509
BV-173	Fig5E	1-3	1-3_Control		Control	21	690.3646
BV-173	Fig5E	1-3	1-3_Control		Control	28	1367.9611
BV-173	Fig5E	1-3	1-3_Control		Control	35	
BV-173	Fig5E	1-3	1-3_Control		Control	42	
BV-173	Fig5E	1-3	1-3_Control		Control	49	
BV-173	Fig5E	1-3	1-3_Control		Control	56	
BV-173	Fig5E	1-3	1-3_Control		Control	63	
BV-173	Fig5E	1-3	1-3_Control		Control	70	
BV-173	Fig5E	1-4	1-4_Control		Control	7	12.18
BV-173	Fig5E	1-4	1-4_Control		Control	14	576.3343
BV-173	Fig5E	1-4	1-4_Control		Control	21	860.0766
BV-173	Fig5E	1-4	1-4_Control		Control	28	768.4712
BV-173	Fig5E	1-4	1-4_Control		Control	35	
BV-173	Fig5E	1-4	1-4_Control		Control	42	
BV-173	Fig5E	1-4	1-4_Control		Control	49	
BV-173	Fig5E	1-4	1-4_Control		Control	56	
BV-173	Fig5E	1-4	1-4_Control		Control	63	
BV-173	Fig5E	1-4	1-4_Control		Control	70	
BV-173	Fig5E	1-5	1-5_Control		Control	7	22.64
BV-173	Fig5E	1-5	1-5_Control		Control	14	102.6834
BV-173	Fig5E	1-5	1-5_Control		Control	21	153.7847
BV-173	Fig5E	1-5	1-5_Control		Control	28	1488.3428
BV-173	Fig5E	1-5	1-5_Control		Control	35	
BV-173	Fig5E	1-5	1-5_Control		Control	42	
BV-173	Fig5E	1-5	1-5_Control		Control	49	
BV-173	Fig5E	1-5	1-5_Control		Control	56	
BV-173	Fig5E	1-5	1-5_Control		Control	63	
BV-173	Fig5E	1-5	1-5_Control		Control	70	
BV-173	Fig5E	1-6	1-6_Control		Control	7	21.55
BV-173	Fig5E	1-6	1-6_Control		Control	14	173.9362
BV-173	Fig5E	1-6	1-6_Control		Control	21	214.531
BV-173	Fig5E	1-6	1-6_Control		Control	28	419.4029
BV-173	Fig5E	1-6	1-6_Control		Control	35	215.582
BV-173	Fig5E	1-6	1-6_Control		Control	42	
BV-173	Fig5E	1-6	1-6_Control		Control	49	
BV-173	Fig5E	1-6	1-6_Control		Control	56	
BV-173	Fig5E	1-6	1-6_Control		Control	63	
BV-173	Fig5E	1-6	1-6_Control		Control	70	
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	7	26.3129
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	14	74.6799
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	21	122.695
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	28	159.37
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	35	132.68
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	42	112.924
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	49	209.474
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	56	231.623
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	63	
BV-173	Fig5E	2-1	2-1_Imatinib		Imatinib	70	
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	7	12.0498
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	14	81.9872
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	21	78.38
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	28	216.24
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	35	215.24
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	42	221.55
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	49	265.96
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	56	264.827
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	63	
BV-173	Fig5E	2-2	2-2_Imatinib		Imatinib	70	
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	7	11.8076
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	14	80.5196
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	21	124.4
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	28	179.3
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	35	159.37
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	42	179.3
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	49	250.056
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	56	
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	63	
BV-173	Fig5E	2-3	2-3_Imatinib		Imatinib	70	
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	7	37.069
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	14	76.7389
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	21	106.152
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	28	202.55
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	35	232.68
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	42	238.84
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	49	314.72
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	56	266.082
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	63	
BV-173	Fig5E	2-4	2-4_Imatinib		Imatinib	70	
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	7	21.5096
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	14	63.797
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	21	185.27
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	28	116.5
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	35	109.237
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	42	118.3
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	49	227.238
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	56	236.751
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	63	Not measured
BV-173	Fig5E	2-5	2-5_Imatinib		Imatinib	70	
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	7	25.4822
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	14	59.5912
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	21	177.94
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	28	89.75
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	35	80.234
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	42	66.341
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	49	92.306
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	56	69.144
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	63	
BV-173	Fig5E	2-6	2-6_Imatinib		Imatinib	70	
