"MouseID","Treatment","Day","TumVol","Cell"
"A-1_Ctrl","Ctrl",7,23.6,"4T1"
"A-1_Ctrl","Ctrl",12,91.1,"4T1"
"A-1_Ctrl","Ctrl",14,129.9,"4T1"
"A-1_Ctrl","Ctrl",17,158.7,"4T1"
"A-1_Ctrl","Ctrl",19,215,"4T1"
"A-2_Ctrl","Ctrl",7,15.3,"4T1"
"A-2_Ctrl","Ctrl",12,75.6,"4T1"
"A-2_Ctrl","Ctrl",14,88.7,"4T1"
"A-2_Ctrl","Ctrl",17,101.4,"4T1"
"A-2_Ctrl","Ctrl",19,123.8,"4T1"
"A-3_Ctrl","Ctrl",7,37.7,"4T1"
"A-3_Ctrl","Ctrl",12,89.1,"4T1"
"A-3_Ctrl","Ctrl",14,112.9,"4T1"
"A-3_Ctrl","Ctrl",17,154.1,"4T1"
"A-3_Ctrl","Ctrl",19,192.1,"4T1"
"A-4_Ctrl","Ctrl",7,35.5,"4T1"
"A-4_Ctrl","Ctrl",12,109,"4T1"
"A-4_Ctrl","Ctrl",14,134.5,"4T1"
"A-4_Ctrl","Ctrl",17,187.2,"4T1"
"A-4_Ctrl","Ctrl",19,200.8,"4T1"
"A-5_Ctrl","Ctrl",7,32.5,"4T1"
"A-5_Ctrl","Ctrl",12,81.9,"4T1"
"A-5_Ctrl","Ctrl",14,75.4,"4T1"
"A-5_Ctrl","Ctrl",17,114.9,"4T1"
"A-5_Ctrl","Ctrl",19,154.1,"4T1"
"A-6 (1)_Ctrl","Ctrl",7,22.9,"4T1"
"A-6 (1)_Ctrl","Ctrl",12,51.8,"4T1"
"A-6 (1)_Ctrl","Ctrl",14,85.2,"4T1"
"A-6 (1)_Ctrl","Ctrl",17,116.2,"4T1"
"A-6 (1)_Ctrl","Ctrl",19,172.7,"4T1"
"A-7 (2)_Ctrl","Ctrl",7,4.9,"4T1"
"A-7 (2)_Ctrl","Ctrl",12,19.6,"4T1"
"A-7 (2)_Ctrl","Ctrl",14,42.2,"4T1"
"A-7 (2)_Ctrl","Ctrl",17,53.6,"4T1"
"A-7 (2)_Ctrl","Ctrl",19,68.4,"4T1"
"A-8 (3)_Ctrl","Ctrl",7,2.1,"4T1"
"A-8 (3)_Ctrl","Ctrl",12,26.9,"4T1"
"A-8 (3)_Ctrl","Ctrl",14,51.1,"4T1"
"A-8 (3)_Ctrl","Ctrl",17,61.8,"4T1"
"A-8 (3)_Ctrl","Ctrl",19,93,"4T1"
"A-9 (4)_Ctrl","Ctrl",7,16.9,"4T1"
"A-9 (4)_Ctrl","Ctrl",12,36.7,"4T1"
"A-9 (4)_Ctrl","Ctrl",14,43.9,"4T1"
"A-9 (4)_Ctrl","Ctrl",17,52.5,"4T1"
"A-9 (4)_Ctrl","Ctrl",19,70.6,"4T1"
"A-10 (5)_Ctrl","Ctrl",7,21.6,"4T1"
"A-10 (5)_Ctrl","Ctrl",12,71.9,"4T1"
"A-10 (5)_Ctrl","Ctrl",14,76.6,"4T1"
"A-10 (5)_Ctrl","Ctrl",17,116.2,"4T1"
"A-10 (5)_Ctrl","Ctrl",19,133.7,"4T1"
"B-1_Anti-PD1","Anti-PD1",7,12.2,"4T1"
"B-1_Anti-PD1","Anti-PD1",12,40.4,"4T1"
"B-1_Anti-PD1","Anti-PD1",14,48.5,"4T1"
"B-1_Anti-PD1","Anti-PD1",17,73.4,"4T1"
"B-1_Anti-PD1","Anti-PD1",19,90.6,"4T1"
"B-2_Anti-PD1","Anti-PD1",7,15.8,"4T1"
"B-2_Anti-PD1","Anti-PD1",12,45.6,"4T1"
"B-2_Anti-PD1","Anti-PD1",14,46.4,"4T1"
