"","Metric","Value","std.err","lb","ub","p.val","Time"
"1",NA,NA,NA,NA,NA,NA,NA
"2","CI",1,0,NA,NA,1,0
"3","Synergy_score",0,0,NA,NA,1,0
"4","CI",1.31905675301446,0.172460128132619,1.03594575032356,1.69705532054031,0.9881,5
"5","Synergy_score",-29.1832234679682,14.9421514887681,-63.0299589374756,-4.52798901908654,0.9881,5
"6","CI",1.47356356368718,0.273302111217141,1.05154205554896,2.09772313385157,0.9881,7
"7","Synergy_score",-41.7974442803561,22.8062933490732,-97.4751160783516,-7.04776869205811,0.9881,7
"8","CI",1.73991071767304,0.473575538882411,1.0758453276402,2.88485325344161,0.9881,10
"9","Synergy_score",-61.9027520748882,37.8591194417674,-164.220060306412,-10.8759996661283,0.9881,10
"10","CI",1.94371396967763,0.649474660328425,1.09232058304319,3.5717395441434,0.9881,12
"11","Synergy_score",-76.1863470842684,50.7586985011705,-221.266050704476,-12.9853339086905,0.9881,12
