Cell,MouseID,Treatment,TumVol,Day,Figure
MAS98.06,Ctrl (HB124:2),Ctrl,309.4375,0,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,345.75,3,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,334.125,7,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,362.5,11,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,433.0625,14,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,663.3125,17,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,483,21,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,524.6875,24,Fig. 4b
MAS98.06,Ctrl (HB124:2),Ctrl,736,28,Fig. 4b
MAS98.06,Ctrl (HB127:4),Ctrl,441.875,0,Fig. 4b
MAS98.06,Ctrl (HB127:6),Ctrl,236.5625,0,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,348.5625,0,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,380,3,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,515.8125,7,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,477.75,10,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,576.5625,14,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,588.5,16,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,696.5625,20,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,767.25,23,Fig. 4b
MAS98.06,Ctrl (HB131:3),Ctrl,977,28,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,608,0,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,548.4375,3,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,838.5,7,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,907.3125,10,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,912.375,14,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,1081.25,16,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,1283.9375,20,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,1559.625,23,Fig. 4b
MAS98.06,Ctrl (HB131:5),Ctrl,1693.1875,28,Fig. 4b
