"","Cell","Figure","CAGE","MOUSE","Treatment","Day","RLU"
"1","U87MG","Fig5A","514","514_5_Tagrisso","Tagrisso",0,"18500000"
"2","U87MG","Fig5A","514","514_5_Tagrisso","Tagrisso",7,"307000"
"3","U87MG","Fig5A","514","514_5_Tagrisso","Tagrisso",14,"280000000"
"4","U87MG","Fig5A","514","514_5_Tagrisso","Tagrisso",18,"2300000"
"5","U87MG","Fig5A","514","514_5_Tagrisso","Tagrisso",21,"2.1e+09"
"6","U87MG","Fig5A","514","514_5_Tagrisso","Tagrisso",25,"2.2e+09"
"7","U87MG","Fig5A","514","514_5_Tagrisso","Tagrisso",28,"2.6e+09"
"8","U87MG","Fig5A","520","520_1_Tagrisso","Tagrisso",0,"18800000"
"9","U87MG","Fig5A","520","520_1_Tagrisso","Tagrisso",7,"68500"
"10","U87MG","Fig5A","520","520_1_Tagrisso","Tagrisso",14,"44000"
"11","U87MG","Fig5A","520","520_1_Tagrisso","Tagrisso",18,"4.3e+07"
"12","U87MG","Fig5A","520","520_1_Tagrisso","Tagrisso",21,"6.5e+07"
"13","U87MG","Fig5A","520","520_1_Tagrisso","Tagrisso",25,"2e+08"
"14","U87MG","Fig5A","520","520_1_Tagrisso","Tagrisso",28,"2.5e+08"
"15","U87MG","Fig5A","520","520_3_Tagrisso","Tagrisso",0,"27900000"
"16","U87MG","Fig5A","520","520_3_Tagrisso","Tagrisso",7,"18400000"
"17","U87MG","Fig5A","520","520_3_Tagrisso","Tagrisso",14,"12000000"
"18","U87MG","Fig5A","520","520_3_Tagrisso","Tagrisso",18,"4.4e+07"
"19","U87MG","Fig5A","520","520_3_Tagrisso","Tagrisso",21,"1.8e+08"
"20","U87MG","Fig5A","520","520_3_Tagrisso","Tagrisso",25,"3.4e+08"
"21","U87MG","Fig5A","520","520_3_Tagrisso","Tagrisso",28,"6.9e+08"
"22","U87MG","Fig5A","515","515_1_Tagrisso","Tagrisso",0,"29500000"
"23","U87MG","Fig5A","515","515_1_Tagrisso","Tagrisso",7,"17300000"
"24","U87MG","Fig5A","515","515_1_Tagrisso","Tagrisso",14,"110000000"
"25","U87MG","Fig5A","515","515_1_Tagrisso","Tagrisso",18,"2.1e+08"
"26","U87MG","Fig5A","515","515_1_Tagrisso","Tagrisso",21,"3.9e+08"
"27","U87MG","Fig5A","515","515_1_Tagrisso","Tagrisso",25,"1.3e+08"
"28","U87MG","Fig5A","515","515_1_Tagrisso","Tagrisso",28,NA
"29","U87MG","Fig5A","517","517_1_Tagrisso","Tagrisso",0,"63300000"
"30","U87MG","Fig5A","517","517_1_Tagrisso","Tagrisso",7,"32500000"
"31","U87MG","Fig5A","517","517_1_Tagrisso","Tagrisso",14,"120000000"
