"","Metric","Value","std.err","lb","ub","p.val","Time"
"12","CI",1,0,NA,NA,1,0
"13","Synergy_score",0,0,NA,NA,1,0
"14","CI",0.875737382730853,0.0683773945648355,0.748296771852411,1.01189554671803,0.0431,7
"15","Synergy_score",9.57331200792925,6.00277975742717,-0.709614699261851,22.7749658766786,0.0431,7
"16","CI",0.766915963512285,0.121144247950826,0.560342735078882,1.02431598464774,0.0431,14
"17","Synergy_score",13.834260971313,9.46999730528381,-0.778294336562066,36.9162750692037,0.0431,14
"18","CI",0.671616978660759,0.162409763457379,0.419545184884579,1.03738324058324,0.0431,21
"19","Synergy_score",15.015709049584,11.4410508601546,-0.599259066421341,46.088362255692,0.0431,21
"20","CI",0.622576122586256,0.182044987686002,0.355703437615195,1.04516316796334,0.0431,25
"21","Synergy_score",14.8683944688847,12.1386337073028,-0.502638010146983,49.6081712125354,0.0431,25
