Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,CI,0.9760980298416768,0.7581066019496102,1.2567722816429603,0.8511836673027129,3,1
Bliss,CI,0.910986382083581,0.6654329857941644,1.2471521641676484,0.560734349353016,6,1
Bliss,CI,0.9150639799857119,0.6635725576994853,1.261869674614395,0.5882599643846954,9,1
Bliss,CI,0.8073927943964276,0.6004891962612838,1.0855867657602716,0.1566810375241143,12,1
Bliss,CI,0.7134495210235496,0.5563973660974997,0.9148321866058879,0.007775310184209814,15,1
Bliss,CI,0.6379751319871483,0.48835124261314417,0.8334416573942068,9.805364386032678e-4,18,1
Bliss,CI,0.5626389789431095,0.43994337462024463,0.719553103622481,4.598987348097264e-6,21,1
Bliss,CI,0.5163575343474657,0.39995552445751936,0.6666368807857619,3.95058389566671e-7,24,1
Bliss,CI,0.47015840860595404,0.3605003143358113,0.6131726392254209,2.5532602293270027e-8,27,1
Bliss,CI,0.458099034700102,0.35006565114768623,0.5994724843901678,1.279391661088521e-8,30,1
Bliss,SS,0.18760836635383876,-1.772355618186215,2.1475723508938924,0.8511836673027129,3,1
Bliss,SS,0.581751095419097,-1.3782128891209566,2.5417150799591504,0.560734349353016,6,1
Bliss,SS,0.5413592856001054,-1.4186046989399481,2.501323270140159,0.5882599643846954,9,1
Bliss,SS,1.4163227240951282,-0.5436412604449254,3.376286708635182,0.1566810375241143,12,1
Bliss,SS,2.661674176257584,0.7017101917175302,4.621638160797637,0.007775310184209814,15,1
Bliss,SS,3.2960526312186533,1.3360886466786,5.256016615758707,9.805364386032678e-4,18,1
Bliss,SS,4.582295793425037,2.622331808884983,6.542259777965091,4.598987348097264e-6,21,1
Bliss,SS,5.0713235810929955,3.111359596552942,7.03128756563305,3.95058389566671e-7,24,1
Bliss,SS,5.56959917635263,3.609635191812576,7.529563160892683,2.5532602293270027e-8,27,1
Bliss,SS,5.688794703306684,3.72883071876663,7.648758687846738,1.279391661088521e-8,30,1
Bliss,CI,1.027941125736886,0.7944075522622991,1.3301270298501964,0.833994746486648,3,2
Bliss,CI,0.9014023239056157,0.7019288276892763,1.1575620169601104,0.4159796945627252,6,2
Bliss,CI,0.725634895421926,0.5645697033748427,0.9326501197397629,0.01226391985849051,9,2
Bliss,CI,0.6839833021042425,0.5109962482672576,0.9155314919508776,0.010674106172152708,12,2
Bliss,CI,0.6378764792421064,0.4806539106632193,0.846526770600644,0.0018464146826960215,15,2
Bliss,CI,0.5612514069231591,0.41481237190888803,0.759387046060465,1.809287419491424e-4,18,2
Bliss,CI,0.5419206207058525,0.3970602311463898,0.739630756518504,1.1314526807934212e-4,21,2
Bliss,CI,0.4806303766416053,0.3591004174515173,0.6432895862111878,8.382804168462031e-7,24,2
Bliss,CI,0.4435433667981131,0.33764306394979693,0.5826588466803416,5.199089468671834e-9,27,2
Bliss,CI,0.42314757207795206,0.31992701366342613,0.5596709877829706,1.658614066720094e-9,30,2
Bliss,SS,-0.2095809533920922,-2.1695449379321454,1.7503830311479616,0.833994746486648,3,2
Bliss,SS,0.8134158157109352,-1.1465481688291186,2.773379800250989,0.4159796945627252,6,2
Bliss,SS,2.5044579029684284,0.5444939184283746,4.4644218875084825,0.01226391985849051,9,2
Bliss,SS,2.5531906159761655,0.5932266314361119,4.513154600516219,0.010674106172152708,12,2
Bliss,SS,3.1138849569048124,1.1539209723647588,5.073848941444866,0.0018464146826960215,15,2
Bliss,SS,3.7442565067164626,1.784292522176409,5.704220491256517,1.809287419491424e-4,18,2
Bliss,SS,3.8605215345672295,1.900557550027176,5.820485519107283,1.1314526807934212e-4,21,2
Bliss,SS,4.9262376325371555,2.9662736479971024,6.88620161707721,8.382804168462031e-7,24,2
Bliss,SS,5.840671301136345,3.880707316596291,7.800635285676398,5.199089468671834e-9,27,2
Bliss,SS,6.028136048274806,4.068172063734752,7.98810003281486,1.658614066720094e-9,30,2
Bliss,CI,1.024313131228678,0.7668802646401546,1.3681632442319094,0.8707824427404033,3,3
Bliss,CI,1.0139999086032407,0.7861191969673071,1.3079388197285569,0.9147509485459773,6,3
Bliss,CI,0.9919799220038449,0.7311637009719882,1.345832902194981,0.9587401778241792,9,3
Bliss,CI,0.9652261642371174,0.7418151471736448,1.2559214403717405,0.7921679844707074,12,3
Bliss,CI,0.7736323110990311,0.5982471501084529,1.0004342731393336,0.050388162458184144,15,3
Bliss,CI,0.6922919705106106,0.5408129760599988,0.8861994694082438,0.003512899143854405,18,3
Bliss,CI,0.6552294849196939,0.5072760796044462,0.846335349072439,0.001205164978693525,21,3
Bliss,CI,0.5742611204986204,0.4394532732239678,0.7504229792100341,4.8393097785281204e-5,24,3
Bliss,CI,0.5306052897810767,0.3955997255664246,0.7116839455349597,2.3331002532625904e-5,27,3
Bliss,CI,0.4803557115526652,0.3587545626502806,0.6431740070890687,8.502679619596212e-7,30,3
Bliss,SS,-0.16266469914179488,-2.1226286836818486,1.7972992853982586,0.8707824427404033,3,3
Bliss,SS,-0.10704793881688851,-2.0670119233569424,1.852916045723165,0.9147509485459773,6,3
Bliss,SS,0.05173458683053491,-1.908229397709519,2.0116985713705886,0.9587401778241792,9,3
Bliss,SS,0.26349641746221447,-1.696467567077839,2.223460402002268,0.7921679844707074,12,3
Bliss,SS,1.9566539924972508,-0.0033099920428028107,3.9166179770373044,0.050388162458184144,15,3
Bliss,SS,2.918881340617079,0.9589173560770251,4.878845325157132,0.003512899143854405,18,3
Bliss,SS,3.2376548931367513,1.2776909085966976,5.197618877676805,0.001205164978693525,21,3
Bliss,SS,4.063255071250444,2.1032910867103904,6.023219055790498,4.8393097785281204e-5,24,3
Bliss,SS,4.230367318390152,2.2704033338500986,6.190331302930205,2.3331002532625904e-5,27,3
Bliss,SS,4.923461074330314,2.9634970897902604,6.883425058870367,8.502679619596212e-7,30,3
Bliss,CI,1.131432365597887,0.9003841654649848,1.4217700033200045,0.289340347393829,3,4
Bliss,CI,1.114417069826044,0.9034884594050743,1.374589119087857,0.3115734260295584,6,4
Bliss,CI,0.9650355889807944,0.7703822004070267,1.208872281196873,0.7568328646312625,9,4
Bliss,CI,0.916057486259965,0.7299046282658128,1.1496862543901072,0.4493716142977153,12,4
Bliss,CI,0.8516091325482003,0.6992621672583487,1.03714765162113,0.110206255073918,15,4
Bliss,CI,0.7158646286192176,0.589117466520485,0.8698811283510143,7.736858536571349e-4,18,4
Bliss,CI,0.6300619056184001,0.5147928698554948,0.7711412262235173,7.433071901592712e-6,21,4
Bliss,CI,0.5442088444765827,0.45381357661059096,0.6526099739423828,5.207951184777323e-11,24,4
Bliss,CI,0.5250675781004059,0.4291788806405367,0.6423800750884058,3.8113488699872236e-10,27,4
Bliss,CI,0.4927450633655474,0.40554119609941613,0.5987004521523305,1.0620356346516018e-12,30,4
Bliss,SS,-1.0595698251142454,-3.019533809654299,0.9003941594258084,0.289340347393829,3,4
Bliss,SS,-1.0119260223092619,-2.971890006849316,0.9480379622307917,0.3115734260295584,6,4
Bliss,SS,0.3096424587497433,-1.6503215257903106,2.269606443289797,0.7568328646312625,9,4
Bliss,SS,0.7564630563106796,-1.2035009282293738,2.716427040850733,0.4493716142977153,12,4
Bliss,SS,1.5972667683450748,-0.36269721619497874,3.5572307528851286,0.110206255073918,15,4
Bliss,SS,3.3620411769416614,1.4020771924016078,5.322005161481715,7.736858536571349e-4,18,4
Bliss,SS,4.4808948748620425,2.520930890321989,6.440858859402096,7.433071901592712e-6,21,4
Bliss,SS,6.564866465116065,4.604902480576012,8.52483044965612,5.207951184777323e-11,24,4
Bliss,SS,6.261564182375023,4.301600197834969,8.221528166915077,3.8113488699872236e-10,27,4
Bliss,SS,7.122218431601869,5.162254447061815,9.082182416141922,1.0620356346516018e-12,30,4
Bliss,CI,1.04934693336067,0.7847543887736255,1.4031511034608313,0.745238405429238,3,5
Bliss,CI,0.936104122153129,0.7160729311695602,1.2237453607984266,0.6291054676872396,6,5
Bliss,CI,0.8043262680793836,0.629585987936782,1.0275653491631853,0.08144217645602381,9,5
Bliss,CI,0.7739338245168844,0.598541940143095,1.000721126723607,0.05064610773282822,12,5
Bliss,CI,0.6598332292881477,0.5095110531812566,0.8545052904238775,0.0016218529730076855,15,5
Bliss,CI,0.5777076743659804,0.4523351245466876,0.7378294076893029,1.1036894096760674e-5,18,5
Bliss,CI,0.5055332238498601,0.3985626913068206,0.6412136559447686,1.8716529449784253e-8,21,5
Bliss,CI,0.4687789434333489,0.3597873784549534,0.6107876789624537,2.0053071798983647e-8,24,5
Bliss,CI,0.4327129368706362,0.3331952625437529,0.5619542255965421,3.3383840281273665e-10,27,5
Bliss,CI,0.41090116005089256,0.3137508851661226,0.5381331856379405,1.0319997023103599e-10,30,5
Bliss,SS,-0.32492424679515536,-2.2848882313352092,1.635039737744898,0.745238405429238,3,5
Bliss,SS,0.482986294501681,-1.4769776900383729,2.4429502790417343,0.6291054676872396,6,5
