Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,CI,1.03366319898464,0.916739861488685,1.16181259764244,0.5814,3,1
Bliss,CI,0.948171577697669,0.633182588901067,1.40180450879283,0.7942,6,1
Bliss,CI,0.65601225797945,0.30204814737366,1.39046315483513,0.2698,9,1
Bliss,CI,0.321028833044967,0.0951235747345181,1.04313338155845,0.0592,12,1
Bliss,CI,0.111545229749468,0.0198618600288621,0.57605987738772,0.0078,15,1
Bliss,CI,0.027908648955236,0.00288895093032734,0.242287010408871,0.0016,18,1
Bliss,CI,0.00530583361950021,3.00E-04,0.0817263388886412,2.00E-04,21,1
Bliss,CI,8.05E-04,2.43E-05,0.0231837553059431,0,24,1
Bliss,CI,1.04E-04,1.48E-06,0.00608340695204393,0,27,1
Bliss,CI,1.15E-05,7.44E-08,0.00147694885455847,0,30,1
Bliss,SS,-0.551277228133157,-2.4972461309014,1.44744264296729,0.5814,3,1
Bliss,SS,0.264885122943846,-1.6810976729847,2.27455853356918,0.7942,6,1
Bliss,SS,1.08766394964944,-0.85046185064303,3.08869080754869,0.2698,9,1
Bliss,SS,1.87795038411169,-0.0697961194334109,3.88833917917747,0.0592,12,1
Bliss,SS,2.58507085319795,0.650053858597891,4.61891093391442,0.0078,15,1
Bliss,SS,3.20076427786136,1.26787834841742,5.22921908584916,0.0016,18,1
Bliss,SS,3.69845220304325,1.76797424740119,5.7258222781177,2.00E-04,21,1
Bliss,SS,4.0780200373263,2.15445307091303,6.08024679882776,0,24,1
Bliss,SS,4.33949328580782,2.41324689045054,6.34810371419549,0,27,1
Bliss,SS,4.50941052925815,2.58431531978608,6.50789143675693,0,30,1
Bliss,CI,0.943883671059775,0.829333773176693,1.07318080678253,0.3984,3,2
Bliss,CI,0.704560603925884,0.455244808990568,1.0844579150105,0.1192,6,2
Bliss,CI,0.376678837774473,0.162631475504356,0.873043343445555,0.02,9,2
Bliss,CI,0.14172465486826,0.0384255185788904,0.530455720226544,0.0024,12,2
Bliss,CI,0.0382645257766684,0.00609439833813098,0.242062289189626,4.00E-04,15,2
Bliss,CI,0.00776435880848803,6.87E-04,0.0890618758817527,0,18,2
Bliss,CI,0.00124451551746855,5.57E-05,0.0266507222240932,0,21,2
Bliss,CI,1.63E-04,3.64E-06,0.00717954883322824,0,24,2
Bliss,CI,1.82E-05,1.91E-07,0.00177619337430722,0,27,2
Bliss,CI,1.83E-06,8.21E-09,4.40E-04,0,30,2
Bliss,SS,0.86738189540868,-1.06074544335347,2.81054215594383,0.3984,3,2
Bliss,SS,1.56286519189335,-0.361862902409246,3.51204101663491,0.1192,6,2
Bliss,SS,2.24962057291369,0.312825766012034,4.18483472631783,0.02,9,2
Bliss,SS,2.87776041333548,0.933815949998984,4.80007453224646,0.0024,12,2
Bliss,SS,3.42626690458721,1.4894331284601,5.35520641272125,4.00E-04,15,2
Bliss,SS,3.87627466072188,1.92961453943311,5.81063109674813,0,18,2
Bliss,SS,4.22546793301559,2.28988540452219,6.18816383225801,0,21,2
Bliss,SS,4.48800503709276,2.53952861565872,6.44186929493317,0,24,2
Bliss,SS,4.66668610119278,2.70815425246147,6.61539055648519,0,27,2
Bliss,SS,4.76868262134148,2.78979838495237,6.72108486925412,0,30,2
Bliss,CI,1.16116311674587,1.02141690213693,1.32018702721793,0.0226,3,3
Bliss,CI,1.38738233676071,0.907891506591835,2.11487591660286,0.137,6,3
Bliss,CI,1.32764721940705,0.590461008728253,2.9501459634448,0.5056,9,3
Bliss,CI,0.899550871473122,0.255266342160296,3.06707354211473,0.8672,12,3
Bliss,CI,0.421198022060903,0.0727060227530853,2.30196104467091,0.3094,15,3
Bliss,CI,0.13751186344689,0.013742174700164,1.25279031032437,0.0798,18,3
Bliss,CI,0.0317498750339188,0.00176626177121594,0.495716609311138,0.0132,21,3
Bliss,CI,0.00542366122705503,1.58E-04,0.153421357223817,0.0018,24,3
Bliss,CI,7.21E-04,1.06E-05,0.0375942336784185,6.00E-04,27,3
Bliss,CI,7.78E-05,5.48E-07,0.00819120069154364,2.00E-04,30,3
Bliss,SS,-2.24638167718445,-4.17598690977829,-0.318577763131641,0.0226,3,3
Bliss,SS,-1.49883588985937,-3.42870490873858,0.442348216320041,0.137,6,3
Bliss,SS,-0.683474872013171,-2.60902834840095,1.27056899595315,0.5056,9,3
Bliss,SS,0.165974498951737,-1.7571521492903,2.14084811303139,0.8672,12,3
Bliss,SS,0.98043801111137,-0.945410594139722,2.97235423175028,0.3094,15,3
Bliss,SS,1.73117731451988,-0.196649336254508,3.74086853562813,0.0798,18,3
Bliss,SS,2.40969185184438,0.49016494997952,4.42764155052351,0.0132,21,3
Bliss,SS,2.99629157995907,1.07662771825542,5.02556679540007,0.0018,24,3
Bliss,SS,3.48232769195033,1.57912726279341,5.51222560910785,6.00E-04,27,3
Bliss,SS,3.86980749879968,1.96512712807768,5.89659848437229,2.00E-04,30,3
Bliss,CI,1.13561150429182,1.01454561858758,1.27112222670855,0.0286,3,4
Bliss,CI,1.27958574024235,0.894627125094594,1.83267295827518,0.1842,6,4
Bliss,CI,1.12920993503633,0.585220405296493,2.18106285369505,0.7172,9,4
Bliss,CI,0.709774125297535,0.267417590761971,1.88143479080008,0.4954,12,4
Bliss,CI,0.31239980071825,0.0848541595813469,1.14425317830722,0.0822,15,4
Bliss,CI,0.0976528150661476,0.0187708429851291,0.490274974507679,0.0044,18,4
Bliss,CI,0.0224225226592022,0.00311455952210066,0.157486301795745,2.00E-04,21,4
Bliss,CI,0.00404139164749736,3.88E-04,0.0398237826113412,0,24,4
Bliss,CI,5.89E-04,3.85E-05,0.00851655919833251,0,27,4
Bliss,CI,7.29E-05,3.22E-06,0.00156119797190217,0,30,4
Bliss,SS,-2.19433096826913,-4.13945941006595,-0.249175723854648,0.0286,3,4
Bliss,SS,-1.33639343932388,-3.28371185340938,0.603582690766935,0.1842,6,4
Bliss,SS,-0.359511465347367,-2.30707359703383,1.58506515096032,0.7172,9,4
Bliss,SS,0.685077609080047,-1.26307482894164,2.63581235002059,0.4954,12,4
Bliss,SS,1.7492067250104,-0.20259147875851,3.70871167880222,0.0822,15,4
Bliss,SS,2.79754795249744,0.857167832726201,4.78069794606786,0.0044,18,4
Bliss,SS,3.79013940297598,1.84474225157852,5.7601932658034,2.00E-04,21,4
Bliss,SS,4.66834883450785,2.73035697388746,6.65338875010693,0,24,4
Bliss,SS,5.41867360325682,3.47238245277047,7.40635300222521,0,27,4
Bliss,SS,6.01499838353565,4.08020290568369,7.98477171964559,0,30,4
Bliss,CI,1.00305962383222,0.890825591533407,1.12606456210525,0.9572,3,5
Bliss,CI,0.849543893920808,0.568992871718876,1.24840782203903,0.4164,6,5
Bliss,CI,0.521567992978591,0.238025836826754,1.0968908171126,0.0914,9,5
Bliss,CI,0.219472267039135,0.0636116119429444,0.708877461929663,0.0102,12,5
Bliss,CI,0.0637137415140564,0.0113285174575119,0.330790764357406,8.00E-04,15,5
Bliss,CI,0.0131745172843604,0.00135169714849392,0.114034984282575,0,18,5
Bliss,CI,0.00200725404109401,1.13E-04,0.0312124921671837,0,21,5
Bliss,CI,2.42E-04,7.20E-06,0.00714207006898417,0,24,5
Bliss,CI,2.40E-05,3.45E-07,0.00141393883893952,0,27,5
Bliss,CI,2.02E-06,1.33E-08,2.48E-04,0,30,5
Bliss,SS,-0.0509346868567058,-1.97954543549222,1.92748871130528,0.9572,3,5
Bliss,SS,0.810065274087201,-1.10225156776804,2.80140875205671,0.4164,6,5
Bliss,SS,1.6712906200407,-0.237450691664043,3.68547081750935,0.0914,9,5
Bliss,SS,2.48900168912865,0.564709099047462,4.52157289216724,0.0102,12,5
Bliss,SS,3.21928354882551,1.2934744484252,5.23862020807419,8.00E-04,15,5
Bliss,SS,3.84309554650026,1.92733054160848,5.86422813552402,0,18,5
Bliss,SS,4.36040612812074,2.43395315174805,6.38167407962524,0,21,5
Bliss,SS,4.75550233921377,2.82226929267143,6.76269653959963,0,24,5
Bliss,SS,5.04302849656702,3.11122256740614,7.05589461770941,0,27,5
Bliss,SS,5.24247162847685,3.31883800277691,7.2496460945952,0,30,5
Bliss,CI,1.22945265479129,1.06884461527196,1.40981986751792,0.0048,3,6
Bliss,CI,1.66278611971356,1.05198481356751,2.60962795245518,0.027,6,6
Bliss,CI,1.85140967892744,0.775940053377442,4.3478764594275,0.169,9,6
Bliss,CI,1.47270834799963,0.383966136501558,5.55925141134718,0.5774,12,6
Bliss,CI,0.803689637680261,0.124854815509041,5.09654230994737,0.8288,15,6
Bliss,CI,0.299306505740986,0.0269708617151053,3.33222548241503,0.3352,18,6
Bliss,CI,0.0784852413760054,0.00383555230464067,1.58561007664534,0.1002,21,6
Bliss,CI,0.0149757627048008,3.92E-04,0.595411608341122,0.028,24,6
Bliss,CI,0.00211673351185652,2.90E-05,0.181407419329229,0.0076,27,6
Bliss,CI,2.38E-04,1.49E-06,0.0458787257251157,0.002,30,6
Bliss,SS,-2.91462285493999,-4.84613697266237,-0.939397811670451,0.0048,3,6
Bliss,SS,-2.17318472851167,-4.09942504345595,-0.21658846732397,0.027,6,6
Bliss,SS,-1.37836341760036,-3.28885840932545,0.567683699237996,0.169,9,6
Bliss,SS,-0.560117031761945,-2.48218175699206,1.38501735601918,0.5774,12,6
Bliss,SS,0.227812842712455,-1.69764725484657,2.16886459491846,0.8288,15,6
Bliss,SS,0.965839437122613,-0.963720167297495,2.89282380094308,0.3352,18,6
Bliss,SS,1.6315314742234,-0.295532746200275,3.56679200525381,0.1002,21,6
Bliss,SS,2.21980717412023,0.273955585101539,4.14475461356311,0.028,24,6
Bliss,SS,2.73810712618837,0.759023385721781,4.64571276994422,0.0076,27,6
Bliss,SS,3.17246502677575,1.17158768610013,5.10044466434749,0.002,30,6
Bliss,CI,0.948683075230015,0.83872489820155,1.07235047599237,0.4048,3,7
Bliss,CI,0.716224974200567,0.47045491943211,1.07876368955866,0.1146,6,7
Bliss,CI,0.387736618986841,0.169388371383445,0.861596359323822,0.02,9,7
Bliss,CI,0.147124659710471,0.0398952330384747,0.514406777522741,0.0022,12,7
Bliss,CI,0.0393645126677109,0.00605351731144642,0.231648432139868,2.00E-04,15,7
Bliss,CI,0.0077838564945998,6.42E-04,0.0817651000847679,0,18,7
Bliss,CI,0.00119003973276899,4.97E-05,0.0232288603134517,0,21,7
Bliss,CI,1.47E-04,2.92E-06,0.0056572298611678,0,24,7
Bliss,CI,1.52E-05,1.31E-07,0.00122534181998567,0,27,7
Bliss,CI,1.38E-06,4.94E-09,2.62E-04,0,30,7
Bliss,SS,0.838336647705895,-1.11161231085568,2.79876611299462,0.4048,3,7
Bliss,SS,1.56818114860479,-0.356221052415862,3.54294008244913,0.1146,6,7
