Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,CI,1.046846144737677,0.8130545799244943,1.3478638185076193,0.7225638966128998,3,1
Bliss,CI,1.0441669299673773,0.7627151542326206,1.4294780582069986,0.7873951393714032,6,1
Bliss,CI,1.1168781739340126,0.8099211938931443,1.5401706546461242,0.5002012723678002,9,1
Bliss,CI,1.0453333410024324,0.7774547644985506,1.4055117335554574,0.7691365203660873,12,1
Bliss,CI,0.9758107429886748,0.7610048241179992,1.2512491063847224,0.846935317037869,15,1
Bliss,CI,0.9178410361533383,0.702580381569903,1.1990544993081569,0.5295438185504169,18,1
Bliss,CI,0.847647717627719,0.6627997904177699,1.0840477978223237,0.18785076709804868,21,1
Bliss,CI,0.8109101924950759,0.6281074443722771,1.0469153744063229,0.10779472691380043,24,1
Bliss,CI,0.7661208415549294,0.5874335100352845,0.9991618350638156,0.04928102551663756,27,1
Bliss,CI,0.770979560109675,0.5891596386626957,1.0089107316586192,0.05805022283446901,30,1
Bliss,SS,-0.35503429815496296,-2.3149982826950164,1.6049296863850906,0.7225638966128998,3,1
Bliss,SS,-0.2696946986100854,-2.2296586831501393,1.6902692859299684,0.7873951393714032,6,1
Bliss,SS,-0.6741730955158471,-2.6341370800559005,1.2857908890242062,0.5002012723678002,9,1
Bliss,SS,-0.29350455235502676,-2.25346853689508,1.6664594321850268,0.7691365203660873,12,1
Bliss,SS,0.19303019952892767,-1.7669337850111262,2.1529941840689815,0.846935317037869,15,1
Bliss,SS,0.6287025344726038,-1.3312614500674498,2.5886665190126577,0.5295438185504169,18,1
Bliss,SS,1.3169637758297585,-0.6430002087102953,3.276927760369812,0.18785076709804868,21,1
Bliss,SS,1.6081847280328416,-0.3517792565072119,3.568148712572895,0.10779472691380043,24,1
Bliss,SS,1.9661522571189964,0.006188272578942767,3.92611624165905,0.04928102551663756,27,1
Bliss,SS,1.895318468696342,-0.06464551584371155,3.8552824532363954,0.05805022283446901,30,1
Bliss,CI,1.1024468563567429,0.8519866425424731,1.4265353591271537,0.458243059648886,3,2
Bliss,CI,1.033181742042366,0.804546461092545,1.326790389010126,0.7981092595040447,6,2
Bliss,CI,0.8856711603425742,0.6890835965805211,1.1383428776350233,0.34307605441828815,9,2
Bliss,CI,0.8855547824315185,0.6615880376354474,1.1853407680860355,0.41392415328333515,12,2
Bliss,CI,0.8724467573420569,0.6574077554386928,1.1578253193693164,0.34463738542707123,15,2
Bliss,CI,0.8074602708546454,0.596781595395001,1.0925137337338853,0.16563201431843455,18,2
Bliss,CI,0.8164343290605189,0.598193885279942,1.1142959332601023,0.20124986204610734,21,2
Bliss,CI,0.7548027196581131,0.5639468183138967,1.0102497737404914,0.05857132172028375,24,2
Bliss,CI,0.7227517602950598,0.5501877314934422,0.9494397586650546,0.019663034692668644,27,2
Bliss,CI,0.7121563336096329,0.5384363835364381,0.9419249125946053,0.017344550150763246,30,2
Bliss,SS,-0.7417430032110491,-2.701706987751103,1.2182209813290046,0.458243059648886,3,2
Bliss,SS,-0.25579483866868635,-2.21575882320874,1.7041691458713673,0.7981092595040447,6,2
Bliss,SS,0.9481048991848108,-1.0118590853552427,2.9080688837248645,0.34307605441828815,9,2
Bliss,SS,0.8170074802609826,-1.142956504279071,2.776971464801036,0.41392415328333515,12,2
Bliss,SS,0.9450420954353753,-1.0149218891046785,2.905006079975429,0.34463738542707123,15,2
Bliss,SS,1.3863763494552896,-0.5735876350847638,3.346340333995343,0.16563201431843455,18,2
Bliss,SS,1.2779987640860162,-0.6819652204540373,3.2379627486260696,0.20124986204610734,21,2
Bliss,SS,1.89139735260506,-0.06856663193499354,3.8513613371451134,0.05857132172028375,24,2
Bliss,SS,2.3327164033479715,0.3727524188079179,4.292680387888025,0.019663034692668644,27,2
Bliss,SS,2.3793213069823684,0.419357322442315,4.3392852915224225,0.017344550150763246,30,2
Bliss,CI,1.0985559028377987,0.8224641655965642,1.4673284528869597,0.5244577229216404,3,3
Bliss,CI,1.1622403939033927,0.901044937845903,1.4991513480448944,0.2470065442361269,6,3
Bliss,CI,1.2107576607748893,0.8924193217614043,1.642651696773786,0.21918191524999114,9,3
Bliss,CI,1.2496805744213038,0.9604298064937785,1.6260444308650013,0.09703915315064542,12,3
Bliss,CI,1.058124924115931,0.8182442892640788,1.3683301792944107,0.6666724117921026,15,3
Bliss,CI,0.9959854979847316,0.778055944678502,1.274956022096572,0.974529475423141,18,3
Bliss,CI,0.9871405967248554,0.7642403511424807,1.2750524834832142,0.9210441454855451,21,3
Bliss,CI,0.9018444871816553,0.690136416500036,1.178496685024446,0.4491559238828841,24,3
Bliss,CI,0.864618740619558,0.6446278296070568,1.159685530620422,0.33153351886982513,27,3
Bliss,CI,0.8084374930663036,0.6037830558230945,1.0824602875023752,0.15331804482742947,30,3
Bliss,SS,-0.6364890390422987,-2.596453023582352,1.323474945497755,0.5244577229216404,3,3
Bliss,SS,-1.1576508617051156,-3.1176148462451687,0.8023131228349379,0.2470065442361269,6,3
Bliss,SS,-1.2287063747458629,-3.1886703592859162,0.7312576097941907,0.21918191524999114,9,3
Bliss,SS,-1.6593804502847527,-3.6193444348248063,0.30058353425530104,0.09703915315064542,12,3
Bliss,SS,-0.4307193989664953,-2.390683383506549,1.5292445855735581,0.6666724117921026,15,3
Bliss,SS,0.031927992255923,-1.9280359922841306,1.9918919767959766,0.974529475423141,18,3
Bliss,SS,0.09911854793194712,-1.8608454366081064,2.059082532472001,0.9210441454855451,21,3
Bliss,SS,0.7568229791949042,-1.2031410053451495,2.7167869637349575,0.4491559238828841,24,3
Bliss,SS,0.9710296400733768,-0.9889343444666767,2.9309936246134303,0.33153351886982513,27,3
Bliss,SS,1.4279090277051758,-0.5320549568348778,3.3878730122452296,0.15331804482742947,30,3
Bliss,CI,1.21343919744382,0.9656444986395623,1.5248206642998796,0.09691638068707799,3,4
