Model,Metric,Estimate,lwr,upr,pval,Time,Simulation
Bliss,CI,1.15106161614708,1.02008693311476,1.29915910842373,0.0232,3,1
Bliss,CI,1.44138018179561,0.964562202127585,2.1539842605801,0.0762,6,1
Bliss,CI,1.63875769335339,0.75597541768764,3.50733203081573,0.2092,9,1
Bliss,CI,1.57569094391707,0.477109748245456,5.14999183918688,0.4562,12,1
Bliss,CI,1.24123388346172,0.238774145033702,6.48713913501363,0.808,15,1
Bliss,CI,0.811317765231968,0.0943711685356958,7.07812643792376,0.8454,18,1
Bliss,CI,0.45409513139716,0.0316715136182329,6.80308552177086,0.5688,21,1
Bliss,CI,0.227330051979407,0.00913258032921827,6.01369749140333,0.378,24,1
Bliss,CI,0.105342916441979,0.00219195935630917,5.10860319448997,0.26,27,1
Bliss,CI,0.0471052470702375,4.92E-04,4.52563183455829,0.189,30,1
Bliss,SS,-2.28940543494916,-4.25900600016244,-0.323641204037724,0.0232,3,1
Bliss,SS,-1.78621961499725,-3.74889649267526,0.176281000401326,0.0762,6,1
Bliss,SS,-1.25992156040124,-3.20084350177089,0.713567743335984,0.2092,9,1
Bliss,SS,-0.750388587046888,-2.70485995455664,1.22124829534135,0.4562,12,1
Bliss,SS,-0.257451979942673,-2.227561673602,1.70625738205013,0.808,15,1
Bliss,SS,0.191685970066635,-1.79406653280164,2.16398030590785,0.8454,18,1
Bliss,SS,0.579931349704807,-1.40851048336442,2.53609814220077,0.5688,21,1
Bliss,SS,0.896089913820084,-1.08523863526226,2.84061748163659,0.378,24,1
Bliss,SS,1.14278543575475,-0.828158198499126,3.10914108526164,0.26,27,1
Bliss,SS,1.32085793493784,-0.652678389703714,3.29325390804754,0.189,30,1
Bliss,CI,1.05628047804994,0.923037068724975,1.20520047327081,0.4264,3,2
Bliss,CI,1.08721835202014,0.689776935586719,1.69883653729254,0.7188,6,2
Bliss,CI,0.972039582219089,0.408734530193238,2.30637131183037,0.9466,9,2
Bliss,CI,0.729834412940657,0.190155454612115,2.72962611393901,0.6376,12,2
Bliss,CI,0.45589037720596,0.0681393925371625,2.89096781340386,0.4108,15,2
Bliss,CI,0.240932961512753,0.0206171267348309,2.7589873114579,0.2602,18,2
Bliss,CI,0.113807829618668,0.00530058402805841,2.46491760406376,0.1638,21,2
Bliss,CI,0.0492332737758242,0.00116124569562342,2.05828265547826,0.1106,24,2
Bliss,CI,0.020211373111724,2.36E-04,1.76507222256224,0.086,27,2
Bliss,CI,0.00809262929155783,4.44E-05,1.51821391133745,0.072,30,2
Bliss,SS,-0.805430379761986,-2.74557054711722,1.1780672406891,0.4264,3,2
Bliss,SS,-0.365647156473463,-2.31722879401708,1.62392496510904,0.7188,6,2
Bliss,SS,0.0641660020654126,-1.89084303249558,2.02437122557822,0.9466,9,2
Bliss,SS,0.457521901420284,-1.45878838367627,2.41141963322648,0.6376,12,2
Bliss,SS,0.818599828530577,-1.1063210631518,2.7993819580686,0.4108,15,2
Bliss,SS,1.13589924120891,-0.809972744927221,3.09797001910381,0.2602,18,2
Bliss,SS,1.38541729033592,-0.575115207493371,3.34039872923249,0.1638,21,2
Bliss,SS,1.57813909502392,-0.378327430204632,3.54195218892706,0.1106,24,2
Bliss,SS,1.71636497200559,-0.249960703506455,3.6741271870036,0.086,27,2
Bliss,SS,1.80675640661681,-0.156614056679123,3.75917181983698,0.072,30,2
Bliss,CI,1.28853343190099,1.12788535689551,1.476110573415,2.00E-04,3,3
Bliss,CI,2.07911869684493,1.3419287401033,3.24105308029381,0.001,6,3
Bliss,CI,3.22098819659429,1.39031141938543,7.46870501392536,0.0064,9,3
Bliss,CI,4.18584795753241,1.14441538761551,15.3384038428194,0.03,12,3
Bliss,CI,4.35728369244765,0.733560632631491,25.9915384026235,0.1038,15,3
Bliss,CI,3.62147832065412,0.364044307401475,35.9754092020713,0.2674,18,3
Bliss,CI,2.46799678846979,0.142903823599957,39.8281961213877,0.5258,21,3
Bliss,CI,1.41557422349227,0.0478166095126659,37.9224847113628,0.8446,24,3
Bliss,CI,0.706157343954482,0.0130909827235362,31.9662745356121,0.846,27,3
Bliss,CI,0.306762108356385,0.00313487373469586,24.9723150160166,0.6018,30,3
Bliss,SS,-3.63206644800373,-5.57924696115907,-1.72422553235422,2.00E-04,3,3
Bliss,SS,-3.18793054932374,-5.12154154640329,-1.28096623389325,0.001,6,3
Bliss,SS,-2.68806257176445,-4.62084297943212,-0.757288324752041,0.0064,9,3
Bliss,SS,-2.15110837610828,-4.10229902714112,-0.202674775208045,0.03,12,3
Bliss,SS,-1.61536787996234,-3.57543344993708,0.340057872207185,0.1038,15,3
Bliss,SS,-1.10234317906215,-3.06905640630681,0.86557678136728,0.2674,18,3
Bliss,SS,-0.630654858684036,-2.57214713925243,1.35818289726456,0.5258,21,3
Bliss,SS,-0.203684311503593,-2.13072885013747,1.78191496947229,0.8446,24,3
Bliss,SS,0.174844328190843,-1.74116103800055,2.17895405925701,0.846,27,3
Bliss,SS,0.516960032765486,-1.40770217858064,2.52213267179121,0.6018,30,3
Bliss,CI,1.27430655082197,1.13370258064663,1.43149035691056,0,3,4
Bliss,CI,1.99673756924471,1.37352225466978,2.89274391471547,2.00E-04,6,4
Bliss,CI,2.9763834051238,1.50435489883495,5.88224970748584,0.0016,9,4
Bliss,CI,3.75259479465428,1.37071006510223,10.2886399971381,0.0114,12,4
Bliss,CI,3.8065250644556,1.01412942267902,14.9157260813174,0.0472,15,4
Bliss,CI,3.1334365682218,0.595430569120087,17.3092058654065,0.178,18,4
Bliss,CI,2.16348464095586,0.289865802526334,16.6189406906552,0.4534,21,4
Bliss,CI,1.27586445121359,0.117538421812078,14.0188755102181,0.834,24,4
Bliss,CI,0.670061398179531,0.0429484525402802,10.633796203525,0.7682,27,4
Bliss,CI,0.320325639134648,0.0138985965850313,7.52819472680662,0.4782,30,4
Bliss,SS,-4.08537135979595,-6.04569111820949,-2.11495131283673,0,3,4
Bliss,SS,-3.64912854733463,-5.60526738003349,-1.67480864639273,2.00E-04,6,4
Bliss,SS,-3.13410014920844,-5.0915829999405,-1.17341496852132,0.0016,9,4
Bliss,SS,-2.5642894192917,-4.51999946486578,-0.611437908060972,0.0114,12,4
Bliss,SS,-1.95078788951831,-3.94387272049785,-0.0204759548434509,0.0472,15,4
Bliss,SS,-1.3356172709087,-3.33426328964246,0.606303969593431,0.178,18,4
Bliss,SS,-0.751185754766263,-2.73575802071461,1.2053867488853,0.4534,21,4
Bliss,SS,-0.202068717610571,-2.19002768670769,1.77579918845839,0.834,24,4
Bliss,SS,0.286994935542696,-1.69453164955785,2.25629742888302,0.7682,27,4
